hour,temperature,water
1,5,0.3
1,6,2.96
1,7,5.11
1,8,8.67
1,9,10.93
1,10,14.99
1,11,17.74
1,12,20.5
1,13,22.96
1,14,25.51
1,15,28.17
1,16,32.13
1,17,34.09
1,18,37.64
1,19,40.6
1,20,43.26
1,21,44.91
1,22,47.67
1,23,52.03
1,24,53.39
1,25,56.84
1,26,59.7
1,27,63.56
1,28,64.81
1,29,68.27
1,30,70.63
1,31,75.09
1,32,78.04
1,33,79.4
1,34,83.46
1,35,84.71
1,36,88.67
1,37,92.33
1,38,93.39
1,39,97.04
1,40,99.7
1,5,0.6
1,6,2.56
1,7,6.11
1,8,8.77
1,9,12.03
1,10,13.79
1,11,16.94
1,12,21
1,13,22.26
1,14,26.11
1,15,29.27
1,16,32.13
1,17,33.29
1,18,38.04
1,19,39
1,20,43.76
1,21,46.01
1,22,48.07
1,23,51.13
1,24,54.19
1,25,57.14
1,26,59.7
1,27,62.86
1,28,66.21
1,29,68.87
1,30,71.93
1,31,73.29
1,32,77.54
1,33,80.8
1,34,83.56
1,35,85.01
1,36,89.57
1,37,90.73
1,38,94.29
1,39,96.24
1,40,99.9
1,5,0.2
1,6,3.56
1,7,5.21
1,8,9.27
1,9,12.03
1,10,14.09
1,11,17.84
1,12,19.3
1,13,22.06
1,14,25.01
1,15,28.67
1,16,31.23
1,17,34.19
1,18,36.44
1,19,39.5
1,20,42.96
1,21,46.41
1,22,48.37
1,23,51.83
1,24,54.79
1,25,57.14
1,26,60.4
1,27,63.46
1,28,66.21
1,29,67.57
1,30,70.63
1,31,74.49
1,32,78.14
1,33,79.1
1,34,82.46
1,35,86.41
1,36,87.97
1,37,90.53
1,38,94.79
1,39,96.14
1,40,100.1
1,5,0.3
1,6,2.96
1,7,6.21
1,8,8.67
1,9,10.53
1,10,14.89
1,11,16.24
1,12,20.2
1,13,22.96
1,14,25.01
1,15,27.67
1,16,31.63
1,17,35.09
1,18,37.64
1,19,39.1
1,20,42.16
1,21,44.81
1,22,48.57
1,23,50.93
1,24,54.59
1,25,56.84
1,26,59.7
1,27,62.66
1,28,66.61
1,29,69.07
1,30,70.53
1,31,73.49
1,32,76.44
1,33,79
1,34,82.96
1,35,85.01
1,36,88.67
1,37,91.03
1,38,94.19
1,39,96.84
1,40,99.2
1,5,0.8
1,6,3.06
1,7,6.01
1,8,7.57
1,9,10.53
1,10,13.59
1,11,18.14
1,12,20.3
1,13,21.86
1,14,24.91
1,15,29.27
1,16,32.13
1,17,35.29
1,18,36.44
1,19,39.1
1,20,42.66
1,21,45.71
1,22,48.77
1,23,51.23
1,24,54.29
